Project name,URL,Source component,Release,Target location,Method,Search parameter
box86,http://ryanfortner.github.io/box64-debs/debian,./,all,utils,aptly,box
box64,https://itai-nelken.github.io/weekly-box86-debs/debian/,./,all,utils,aptly,box
zfs,http://ppa.launchpad.net/jonathonf/zfs/ubuntu,focal,focal,utils,aptly,
zfs,http://ppa.launchpad.net/jonathonf/zfs/ubuntu,jammy,jammy,utils,aptly,
zfs,http://ppa.launchpadcontent.net/jonathonf/zfs-debian/ubuntu,devel,bullseye,utils,aptly,
nala,http://deb.volian.org/volian scar,main,focal,utils,aptly,nala_
nala,http://deb.volian.org/volian scar,main,jammy,utils,aptly,nala_
nala,http://deb.volian.org/volian scar,main,kinetic,utils,aptly,nala_
nala,http://deb.volian.org/volian scar,main,bullseye,utils,aptly,nala_
aptly,https://github.com/aptly-dev/aptly,focal,all,utils,gh,amd64
ghcli,https://github.com/cli/cli,jammy,all,utils,gh,gh
zoom,http://mirror.mwt.me/my/deb,any,all,desktop,aptly,zoom
sysmoncenter,https://github.com/hakandundar34coding/system-monitoring-center,jammy,jammy,utils,gh,
sysmoncenter,https://github.com/hakandundar34coding/system-monitoring-center,jammy,kinetic,utils,gh,
sysmoncenter,https://github.com/hakandundar34coding/system-monitoring-center,jammy,sid,utils,gh,
numix,https://ppa.launchpadcontent.net/numix/ppa/ubuntu/,jammy,all,desktop,aptly,
howdy,https://ppa.launchpadcontent.net/boltgolt/howdy/ubuntu,jammy,all,desktop,aptly,
discord,https://discord.com/api/download?platform=linux&format=deb,jammy,all,desktop,direct,
urbackup,https://ppa.launchpadcontent.net/uroni/urbackup/ubuntu,jammy,jammy,utils,aptly,
syncthing,https://apt.syncthing.net/ syncthing,stable,all,utils,aptly,
vscodium,http://paulcarroty.gitlab.io/vscodium-deb-rpm-repo/debs/ vscodium,main,all,desktop,aptly,
